material_type,year,month,waste_quantity,sold_out_qty,isSuccessfull,months_to_sell,isSuccessfulMonth,unit_price_lkr,trend_status_code,recommended_unit_price
Leather,2024,1,1072.0,831.3,1,4.6,1,1490.67,1,1163.08
Linen,2024,1,1514.0,375.2,0,10.7,0,617.17,0,600.25
Nylon,2024,1,2252.0,702.9,0,9.2,0,269.22,0,430.1
Polyester,2024,1,277.0,158.1,1,5.6,0,272.14,0,308.05
Satin,2024,1,331.0,127.3,0,8.9,0,636.3,0,608.15
Silk,2024,1,1265.0,573.3,0,8.5,0,1044.66,0,967.91
Terrycloth,2024,1,2063.0,1021.6,1,7.1,0,409.1,0,445.7
Viscose,2024,1,2088.0,1613.7,1,4.0,1,399.64,1,342.18
Wool,2024,1,2392.0,2175.8,1,4.6,1,922.96,1,888.66
Blended,2023,12,702.0,406.2,1,6.5,1,372.47,1,382.61
Chenille,2023,12,1020.0,934.1,1,4.1,1,694.37,1,760.37
Corduroy,2023,12,2170.0,1059.8,0,7.9,0,522.9,0,400.28
Cotton,2023,12,1402.0,562.8,0,8.3,0,436.06,0,427.49
Crepe,2023,12,1671.0,417.8,0,9.1,0,609.18,0,561.0
Denim,2023,12,1846.0,1214.8,1,7.1,1,503.28,1,619.81
Fleece,2023,12,2235.0,1714.9,1,5.6,1,467.65,1,618.21
Leather,2023,12,2404.0,568.6,0,10.7,0,1437.47,0,1057.76
Linen,2023,12,1320.0,971.9,1,5.4,1,603.82,1,866.06
Nylon,2023,12,1477.0,419.6,0,9.8,0,320.4,0,322.4
Polyester,2023,12,2057.0,1617.2,1,4.8,1,239.03,1,208.9
Satin,2023,12,1341.0,1125.3,1,5.7,1,704.08,1,845.77
Silk,2023,12,1014.0,873.9,1,3.5,1,1176.29,1,1381.5
Terrycloth,2023,12,2463.0,1585.1,1,4.6,1,392.41,1,423.82
Viscose,2023,12,2262.0,1849.3,1,4.3,1,406.85,1,392.43
Wool,2023,12,2294.0,1073.7,0,7.8,1,905.66,0,739.08
Blended,2023,11,329.0,36.5,0,9.9,0,334.87,0,182.07
Chenille,2023,11,2155.0,1268.1,1,6.5,0,668.92,0,730.89
Corduroy,2023,11,2034.0,1300.0,1,5.5,1,542.31,1,685.64
Cotton,2023,11,1883.0,496.1,0,9.5,0,460.22,0,438.68
Crepe,2023,11,2065.0,843.1,0,9.1,0,568.9,0,416.4
Denim,2023,11,911.0,438.4,1,7.8,0,537.26,0,405.05
Fleece,2023,11,545.0,519.1,1,2.6,1,448.38,1,509.35
Leather,2023,11,2465.0,1547.1,1,5.6,1,1343.34,1,1502.23
Linen,2023,11,1184.0,391.2,0,10.6,0,656.19,0,788.79
Nylon,2023,11,1839.0,1627.4,1,5.4,1,272.29,1,331.53
Polyester,2023,11,555.0,514.4,1,1.7,1,251.45,1,170.78
Satin,2023,11,2063.0,1415.7,1,5.6,1,671.13,1,820.0
Silk,2023,11,803.0,350.9,1,8.6,0,1192.97,0,1584.12
Terrycloth,2023,11,2128.0,1025.1,1,8.8,1,400.76,0,306.51
Viscose,2023,11,1630.0,343.2,0,10.0,0,399.64,0,409.27
Wool,2023,11,1836.0,1811.0,1,3.0,1,862.93,1,968.23
Blended,2023,10,1845.0,493.9,0,9.4,0,329.5,0,302.76
Chenille,2023,10,2054.0,781.1,1,7.9,0,611.9,0,694.98
Corduroy,2023,10,1135.0,734.5,1,7.0,1,586.84,1,624.17
Cotton,2023,10,1532.0,615.4,0,8.8,0,454.47,0,358.14
Crepe,2023,10,316.0,203.3,1,4.7,1,645.35,1,847.42
Denim,2023,10,774.0,366.1,1,8.9,0,528.07,0,450.13
Fleece,2023,10,1825.0,1693.4,1,4.1,1,405.77,1,480.78
Leather,2023,10,585.0,303.7,0,6.9,0,1533.64,0,1563.37
Linen,2023,10,674.0,514.8,1,4.0,1,573.01,1,656.13
Nylon,2023,10,1138.0,147.4,0,10.3,0,309.14,0,280.73
Polyester,2023,10,962.0,218.2,0,9.8,0,256.62,0,198.12
Satin,2023,10,863.0,534.9,1,5.9,1,699.37,0,688.59
Silk,2023,10,1403.0,669.3,1,7.6,1,1085.45,1,1373.88
Terrycloth,2023,10,2079.0,790.7,0,7.8,0,372.13,0,341.72
Viscose,2023,10,484.0,301.3,1,5.7,1,388.31,1,274.59
Wool,2023,10,861.0,256.7,0,9.0,0,954.51,0,614.83
Blended,2023,9,1692.0,953.7,1,5.3,1,347.4,1,388.69
Chenille,2023,9,1048.0,1011.3,1,2.2,1,620.05,1,683.88
Corduroy,2023,9,888.0,534.2,0,6.5,0,533.18,1,352.7
Cotton,2023,9,541.0,95.7,0,9.8,0,475.18,0,399.7
Crepe,2023,9,1924.0,511.8,0,9.1,0,545.88,0,550.39
Denim,2023,9,526.0,334.5,1,6.6,1,530.83,1,557.94
Fleece,2023,9,1189.0,921.4,1,4.6,1,471.71,1,574.69
Leather,2023,9,922.0,382.1,0,7.6,0,1432.36,0,1266.41
Linen,2023,9,628.0,276.3,1,7.1,0,575.06,0,454.56
Nylon,2023,9,2265.0,825.9,0,9.1,0,314.26,0,259.4
Polyester,2023,9,1594.0,809.7,0,8.0,0,241.1,0,243.32
Satin,2023,9,393.0,228.3,1,6.8,1,645.72,0,739.91
Silk,2023,9,1336.0,615.5,1,8.2,0,1167.94,0,943.17
Terrycloth,2023,9,1901.0,1499.5,1,5.3,1,424.61,1,529.31
Viscose,2023,9,254.0,241.7,1,2.6,1,443.93,1,572.22
Wool,2023,9,999.0,344.7,0,9.0,0,952.47,0,1013.73
Blended,2023,8,2101.0,1205.8,1,4.9,1,333.08,1,308.48
Chenille,2023,8,2334.0,2289.7,1,3.3,1,586.45,1,476.4
Corduroy,2023,8,2023.0,1505.9,1,4.4,1,566.29,1,472.81
Cotton,2023,8,1032.0,615.6,1,7.3,1,464.82,0,522.71
Crepe,2023,8,2058.0,633.8,0,8.4,0,578.76,0,599.55
Denim,2023,8,1990.0,234.3,0,12.0,0,510.62,0,502.36
Fleece,2023,8,1487.0,281.8,0,10.4,0,428.09,0,367.52
Leather,2023,8,2343.0,2319.2,1,3.4,1,1455.89,1,1926.06
Linen,2023,8,1511.0,1314.8,1,4.7,1,539.12,1,454.41
Nylon,2023,8,651.0,618.4,1,2.8,1,305.05,1,418.4
Polyester,2023,8,381.0,108.4,0,8.2,0,240.07,0,292.58
Satin,2023,8,1022.0,926.6,1,3.8,1,618.42,1,873.3
Silk,2023,8,2254.0,1510.0,1,5.7,1,991.83,1,855.71
Terrycloth,2023,8,2398.0,2070.2,1,4.1,1,405.53,1,424.82
Viscose,2023,8,1114.0,696.0,1,5.7,1,428.48,1,362.13
Wool,2023,8,281.0,253.9,1,3.2,1,928.05,1,979.45
Blended,2023,7,2139.0,860.5,1,7.1,0,365.31,0,335.34
Chenille,2023,7,1609.0,686.6,0,8.8,0,615.98,0,750.2
Corduroy,2023,7,595.0,504.3,1,4.6,1,551.45,1,768.04
Cotton,2023,7,1004.0,470.3,1,8.4,0,487.83,0,587.88
Crepe,2023,7,1957.0,834.6,0,7.6,0,559.85,0,786.76
Denim,2023,7,1276.0,465.8,0,8.0,0,542.77,0,583.98
Fleece,2023,7,1723.0,1683.5,1,2.5,1,399.68,1,393.11
Leather,2023,7,1587.0,358.8,0,11.2,0,1567.41,0,1381.83
Linen,2023,7,2306.0,2087.2,1,3.3,1,542.2,1,680.55
Nylon,2023,7,327.0,86.3,0,10.3,0,326.55,0,318.69
Polyester,2023,7,720.0,423.0,1,6.3,1,259.73,1,280.18
Satin,2023,7,436.0,201.6,1,9.1,0,710.67,0,801.24
Silk,2023,7,1981.0,1348.2,1,4.8,1,984.41,1,1196.3
Terrycloth,2023,7,2251.0,493.1,0,8.4,0,399.56,0,349.48
Viscose,2023,7,2276.0,579.3,0,8.3,0,421.27,0,421.78
Wool,2023,7,1004.0,117.0,0,11.7,0,918.89,0,822.55
Blended,2023,6,2375.0,489.2,0,9.6,0,347.4,0,355.86
Chenille,2023,6,1579.0,865.7,1,7.0,0,648.56,1,667.11
Corduroy,2023,6,2281.0,1365.8,1,6.0,1,538.89,1,402.97
Cotton,2023,6,1601.0,1197.8,1,5.6,1,446.41,1,482.96
Crepe,2023,6,541.0,120.7,0,9.9,0,624.8,0,507.08
Denim,2023,6,845.0,641.3,1,6.2,1,537.26,1,613.99
Fleece,2023,6,1972.0,1377.5,1,4.4,1,401.71,1,511.23
Leather,2023,6,654.0,402.8,1,6.0,1,1480.44,1,1524.43
Linen,2023,6,901.0,510.9,1,4.5,1,660.3,1,713.59
Nylon,2023,6,1799.0,752.9,0,8.1,0,310.17,0,358.04
Polyester,2023,6,2045.0,1562.9,1,4.5,1,244.21,1,289.13
Satin,2023,6,1594.0,511.4,0,7.8,0,638.19,0,594.11
Silk,2023,6,348.0,297.0,1,5.7,1,1072.47,1,1121.76
Terrycloth,2023,6,2258.0,948.6,0,8.2,0,376.9,0,270.25
Viscose,2023,6,1336.0,1001.2,1,5.7,1,409.94,1,361.97
Wool,2023,6,1533.0,810.1,1,7.4,1,849.7,1,727.71
Blended,2023,5,957.0,212.0,0,10.9,0,363.52,0,357.76
Chenille,2023,5,1512.0,518.5,0,9.7,0,586.45,0,470.19
Corduroy,2023,5,950.0,319.2,0,8.4,0,614.24,0,682.25
Cotton,2023,5,1962.0,1682.2,1,6.2,1,471.73,1,493.37
Crepe,2023,5,564.0,134.9,0,8.8,0,636.31,0,462.19
Denim,2023,5,2448.0,1943.3,1,3.6,1,483.07,1,604.92
Fleece,2023,5,1240.0,584.7,0,7.6,0,442.29,1,440.9
Leather,2023,5,260.0,187.1,1,6.2,1,1611.4,1,1489.05
Linen,2023,5,1262.0,212.4,0,10.2,0,634.62,0,514.48
Nylon,2023,5,1452.0,148.3,0,10.0,0,290.72,0,307.96
Polyester,2023,5,1658.0,571.9,0,9.7,0,261.8,0,207.46
Satin,2023,5,1836.0,334.9,0,10.3,0,657.95,0,582.11
Silk,2023,5,1240.0,1184.5,1,3.0,1,1192.05,1,1188.72
Terrycloth,2023,5,1720.0,458.6,0,8.9,0,411.49,0,368.24
Viscose,2023,5,1541.0,1483.0,1,3.1,1,398.61,1,294.72
Wool,2023,5,538.0,408.3,1,6.0,1,903.63,1,965.72
Blended,2023,4,1950.0,1465.8,1,6.5,1,363.52,1,295.31
Chenille,2023,4,1423.0,462.0,0,8.8,0,700.48,0,678.54
Corduroy,2023,4,1312.0,894.8,1,4.8,1,529.75,1,399.66
Cotton,2023,4,688.0,653.4,1,3.8,1,425.7,1,416.76
Crepe,2023,4,246.0,34.4,0,11.0,0,604.25,0,530.92
Denim,2023,4,1239.0,1155.6,1,3.2,1,529.91,1,719.73
Fleece,2023,4,2017.0,1232.7,1,8.3,1,467.65,0,549.93
Leather,2023,4,449.0,171.3,0,8.5,0,1448.73,0,1115.65
Linen,2023,4,534.0,388.6,1,6.0,1,625.38,1,524.68
Nylon,2023,4,1721.0,825.4,0,7.5,0,286.62,0,279.2
Polyester,2023,4,1700.0,895.5,1,7.7,0,263.87,1,257.86
Satin,2023,4,1189.0,177.6,0,10.9,0,694.66,0,613.36
Silk,2023,4,601.0,342.7,1,7.6,1,1172.58,1,1321.64
Terrycloth,2023,4,814.0,108.5,0,10.8,0,415.07,0,333.59
Viscose,2023,4,1382.0,591.8,0,6.4,0,406.85,0,366.23
Wool,2023,4,2435.0,1297.7,0,7.4,0,838.5,0,799.78
Blended,2023,3,330.0,239.8,1,4.2,1,333.08,1,373.22
Chenille,2023,3,382.0,177.3,0,7.6,0,700.48,0,712.19
Corduroy,2023,3,238.0,91.3,0,8.6,0,599.4,0,595.52
Cotton,2023,3,1572.0,1093.3,1,6.0,1,471.73,1,530.86
Crepe,2023,3,215.0,104.1,1,8.6,0,665.91,0,653.9
Denim,2023,3,1331.0,412.2,0,10.0,0,509.7,0,594.35
Fleece,2023,3,510.0,263.0,0,7.5,1,475.77,0,404.27
Leather,2023,3,745.0,88.8,0,10.4,0,1644.14,0,1431.52
Linen,2023,3,958.0,255.7,0,9.4,0,651.05,0,519.24
Nylon,2023,3,1497.0,1414.9,1,3.4,1,294.81,1,455.4
Polyester,2023,3,2114.0,2110.1,1,1.6,1,244.21,1,287.19
Satin,2023,3,228.0,180.2,1,5.3,1,619.36,1,449.77
Silk,2023,3,444.0,236.1,0,6.0,1,1192.97,1,1440.03
Terrycloth,2023,3,471.0,417.5,1,3.1,1,424.61,1,451.53
Viscose,2023,3,1462.0,670.3,1,6.4,1,394.49,0,348.84
Wool,2023,3,1120.0,451.1,0,8.7,0,941.28,0,882.9
Blended,2023,2,539.0,411.7,1,5.2,1,365.31,1,419.88
Chenille,2023,2,2250.0,1171.3,0,7.3,1,613.94,1,635.71
Corduroy,2023,2,575.0,206.1,1,7.5,0,535.46,0,344.88
Cotton,2023,2,345.0,107.0,0,9.3,0,472.88,0,581.03
Crepe,2023,2,631.0,73.3,0,11.8,0,618.22,0,410.37
Denim,2023,2,2198.0,1066.0,0,6.5,1,500.52,0,579.24
Fleece,2023,2,1163.0,344.7,0,10.0,0,457.51,0,388.09
Leather,2023,2,2241.0,1833.6,1,4.0,1,1539.78,1,1614.21
Linen,2023,2,1138.0,716.6,1,5.6,1,621.27,0,712.72
Nylon,2023,2,1006.0,896.6,1,3.7,1,310.17,1,340.96
Polyester,2023,2,1525.0,977.1,1,5.6,1,260.76,1,302.81
Satin,2023,2,1285.0,837.9,1,5.9,1,648.54,1,676.44
Silk,2023,2,971.0,299.6,0,7.8,0,1047.44,0,1187.23
Terrycloth,2023,2,1533.0,991.8,1,6.0,1,366.17,1,365.2
Viscose,2023,2,1589.0,488.8,0,9.8,0,407.88,0,329.28
Wool,2023,2,425.0,189.4,0,7.8,1,933.14,0,935.79
Blended,2023,1,1136.0,304.2,0,9.7,0,370.68,0,388.04
Chenille,2023,1,2111.0,876.3,0,7.2,0,599.69,0,508.59
Corduroy,2023,1,1996.0,1330.9,1,5.9,1,510.34,1,660.3
Cotton,2023,1,926.0,829.1,1,2.1,1,424.55,1,354.34
Crepe,2023,1,1243.0,1237.3,1,2.8,1,601.78,1,621.7
Denim,2023,1,1796.0,600.2,0,8.7,0,486.74,0,412.55
Fleece,2023,1,1049.0,762.0,1,7.3,1,448.38,1,510.11
Leather,2023,1,359.0,185.6,1,6.6,1,1519.32,0,1455.42
Linen,2023,1,980.0,295.4,0,10.8,0,656.19,0,626.26
Nylon,2023,1,2230.0,293.0,0,11.4,0,284.58,0,350.83
Polyester,2023,1,779.0,484.6,1,4.8,1,259.73,1,380.05
Satin,2023,1,1490.0,1325.7,1,4.5,1,689.02,1,751.51
Silk,2023,1,1187.0,627.9,1,6.2,0,1093.79,0,920.34
Terrycloth,2023,1,1418.0,1361.4,1,3.4,1,425.8,1,471.13
Viscose,2023,1,1555.0,205.1,0,11.1,0,414.06,0,323.22
Wool,2023,1,1686.0,1162.9,1,5.4,1,932.12,1,696.94
Blended,2022,12,1618.0,288.5,0,10.5,0,320.54,0,206.15
Chenille,2022,12,1183.0,387.3,0,9.5,0,706.59,0,941.09
Corduroy,2022,12,237.0,79.1,0,8.5,0,569.71,0,617.62
Cotton,2022,12,1399.0,764.3,0,8.6,1,442.96,1,454.29
Crepe,2022,12,653.0,630.7,1,3.9,1,612.47,1,540.69
Denim,2022,12,1911.0,1366.2,1,6.3,1,517.05,1,627.65
Fleece,2022,12,792.0,123.0,0,10.3,0,455.48,0,443.14
Leather,2022,12,1524.0,811.6,0,7.4,0,1418.03,0,1426.02
Linen,2022,12,2362.0,1989.3,1,3.6,1,597.66,1,629.83
Nylon,2022,12,1791.0,1246.4,1,6.0,1,279.46,1,378.62
Polyester,2022,12,2287.0,1393.1,0,7.0,1,228.68,1,260.88
Satin,2022,12,1972.0,1499.7,1,5.4,1,589.24,1,822.32
Silk,2022,12,2339.0,2024.5,1,4.0,1,993.68,1,1207.7
Terrycloth,2022,12,1904.0,762.8,0,7.9,0,374.52,0,316.39
Viscose,2022,12,1916.0,1364.4,1,6.6,1,368.74,1,366.6
Wool,2022,12,899.0,218.2,0,8.8,0,936.19,0,1137.83
Blended,2022,11,756.0,668.8,1,2.3,1,340.24,1,352.25
Chenille,2022,11,1254.0,1057.4,1,4.9,1,645.5,1,743.08
Corduroy,2022,11,1774.0,434.1,0,9.1,0,576.56,0,638.6
Cotton,2022,11,788.0,438.7,0,7.0,1,457.92,0,567.46
Crepe,2022,11,494.0,135.3,0,10.7,0,633.02,0,584.05
Denim,2022,11,1748.0,1145.3,1,5.6,1,454.6,1,374.02
Fleece,2022,11,1336.0,806.8,1,6.5,1,434.17,1,542.43
Leather,2022,11,559.0,186.6,0,8.3,0,1422.12,0,1232.54
Linen,2022,11,899.0,97.2,0,11.0,0,583.28,0,582.59
Nylon,2022,11,874.0,188.4,0,9.8,0,295.84,0,218.04
Polyester,2022,11,785.0,383.9,1,7.5,1,245.24,1,230.23
Satin,2022,11,1193.0,486.4,0,8.9,0,615.6,0,641.71
Silk,2022,11,771.0,201.7,0,9.1,0,1044.66,0,1107.16
Terrycloth,2022,11,2284.0,439.1,0,11.3,0,393.6,0,349.36
Viscose,2022,11,1419.0,363.8,0,8.0,0,392.43,0,270.5
Wool,2022,11,683.0,110.0,0,10.9,0,895.49,0,1031.76
Blended,2022,10,930.0,232.3,0,10.6,0,358.15,0,315.8
Chenille,2022,10,1117.0,824.0,1,4.4,1,682.16,1,630.21
Corduroy,2022,10,221.0,145.6,1,5.4,1,528.61,1,564.77
Cotton,2022,10,2457.0,2172.9,1,3.7,1,457.92,1,496.49
Crepe,2022,10,903.0,639.7,1,5.9,1,628.91,1,587.19
Denim,2022,10,962.0,208.8,0,10.0,0,471.13,0,433.06
Fleece,2022,10,1230.0,195.6,0,9.6,0,483.88,0,410.59
Leather,2022,10,2326.0,1946.6,1,3.8,1,1556.15,1,2012.32
Linen,2022,10,769.0,77.6,0,12.0,0,573.01,0,543.2
Nylon,2022,10,1653.0,862.3,1,8.2,0,281.51,0,261.18
Polyester,2022,10,715.0,345.7,0,8.8,1,271.11,0,250.0
Satin,2022,10,238.0,136.7,1,7.8,1,685.25,1,702.93
Silk,2022,10,2404.0,886.0,0,8.2,0,1002.95,0,967.65
Terrycloth,2022,10,2023.0,352.3,0,9.2,0,378.09,0,476.08
Viscose,2022,10,1173.0,360.2,0,8.1,0,403.76,0,390.01
Wool,2022,10,1762.0,1552.8,1,3.5,1,868.01,1,886.09
Blended,2022,9,1188.0,1127.7,1,2.3,1,365.31,1,439.57
Chenille,2022,9,1068.0,720.6,1,5.4,1,647.54,1,634.59
Corduroy,2022,9,1882.0,652.7,0,10.9,0,538.89,0,469.15
Cotton,2022,9,1610.0,613.0,0,9.0,0,454.47,0,500.43
Crepe,2022,9,769.0,695.7,1,3.6,1,570.54,1,745.34
Denim,2022,9,2180.0,611.1,0,8.1,0,461.03,0,423.78
Fleece,2022,9,992.0,737.5,1,5.4,1,471.71,1,487.53
Leather,2022,9,2455.0,1445.8,0,6.8,1,1550.01,1,1436.66
Linen,2022,9,1283.0,342.5,0,9.9,0,617.17,0,675.64
Nylon,2022,9,1880.0,342.3,0,11.2,0,292.77,0,253.29
Polyester,2022,9,719.0,570.8,1,4.1,1,242.14,1,220.14
Satin,2022,9,2235.0,259.4,0,10.7,0,620.3,0,656.57
Silk,2022,9,548.0,119.5,0,10.4,0,1117.89,0,769.68
Terrycloth,2022,9,892.0,821.2,1,4.1,1,400.76,1,375.06
Viscose,2022,9,577.0,377.9,1,5.6,1,396.55,1,482.12
Wool,2022,9,726.0,387.2,1,8.1,1,897.52,0,984.65
Blended,2022,8,2453.0,1566.2,1,5.5,1,313.38,1,376.85
Chenille,2022,8,1459.0,470.9,0,10.0,0,642.45,0,592.44
Corduroy,2022,8,720.0,201.9,0,8.3,0,544.6,0,603.7
Cotton,2022,8,1216.0,297.6,0,9.2,0,447.56,0,311.9
Crepe,2022,8,1213.0,477.1,0,9.0,0,578.76,0,744.74
Denim,2022,8,1567.0,767.7,0,6.2,0,509.7,0,504.36
Fleece,2022,8,1287.0,656.0,1,7.4,1,463.59,1,480.29
Leather,2022,8,271.0,140.4,1,6.2,1,1578.66,1,1574.41
Linen,2022,8,2213.0,1003.0,0,9.0,0,612.03,0,410.31
Nylon,2022,8,1589.0,1552.8,1,1.9,1,291.74,1,297.84
Polyester,2022,8,365.0,132.3,0,10.1,0,241.1,0,296.46
Satin,2022,8,1524.0,1190.8,1,4.9,1,629.72,1,824.32
Silk,2022,8,1615.0,1214.2,1,4.1,1,1071.54,1,964.14
Terrycloth,2022,8,1776.0,564.5,0,9.2,0,412.68,0,379.83
Viscose,2022,8,1895.0,220.8,0,10.8,0,387.28,0,322.66
Wool,2022,8,1533.0,1006.2,1,4.5,1,818.15,1,933.43
Blended,2022,7,913.0,728.8,1,6.5,1,345.61,1,411.17
Chenille,2022,7,201.0,116.7,1,5.5,1,647.54,0,743.24
Corduroy,2022,7,1968.0,817.8,0,6.9,0,554.87,0,682.85
Cotton,2022,7,2363.0,997.2,0,8.1,0,441.81,0,429.38
Crepe,2022,7,2441.0,2391.5,1,1.5,1,572.19,1,679.09
Denim,2022,7,289.0,208.2,1,4.7,1,544.6,1,577.26
Fleece,2022,7,305.0,76.5,0,10.1,0,464.61,0,342.86
Leather,2022,7,1528.0,1461.4,1,3.2,1,1396.55,1,1591.56
Linen,2022,7,516.0,379.7,1,3.4,1,577.12,1,547.25
Nylon,2022,7,2470.0,1450.3,0,7.1,1,275.36,0,294.88
Polyester,2022,7,915.0,808.7,1,3.6,1,248.34,1,356.79
Satin,2022,7,1913.0,1267.9,1,6.9,0,592.06,1,735.04
Silk,2022,7,1307.0,530.0,0,8.3,0,1056.71,0,756.65
Terrycloth,2022,7,450.0,241.2,0,6.7,1,403.14,0,445.75
Viscose,2022,7,658.0,595.7,1,4.4,1,390.37,1,400.52
Wool,2022,7,1099.0,700.9,1,5.9,1,973.84,1,1003.34
Blended,2022,6,221.0,112.1,1,7.0,0,334.87,1,367.0
Chenille,2022,6,714.0,97.6,0,10.3,0,664.85,0,629.66
Corduroy,2022,6,1073.0,530.9,1,6.4,0,562.86,1,583.24
Cotton,2022,6,2334.0,1599.4,1,6.0,1,470.58,1,558.01
Crepe,2022,6,1760.0,1556.9,1,5.1,1,549.17,1,553.39
Denim,2022,6,2369.0,938.4,0,8.5,0,472.05,0,470.75
Fleece,2022,6,949.0,382.6,1,7.8,0,490.98,0,331.79
Leather,2022,6,2127.0,1881.6,1,4.5,1,1542.85,1,1665.85
Linen,2022,6,894.0,124.5,0,11.1,0,646.95,0,700.55
Nylon,2022,6,2189.0,1635.8,1,4.8,1,280.48,1,332.52
Polyester,2022,6,511.0,499.4,1,2.7,1,245.24,1,217.42
Satin,2022,6,1937.0,896.7,0,8.1,0,642.89,0,493.04
Silk,2022,6,644.0,106.2,0,11.4,0,1188.34,0,1003.73
Terrycloth,2022,6,2182.0,618.0,0,10.4,0,400.76,0,540.4
Viscose,2022,6,1102.0,569.0,0,7.2,0,417.15,0,510.35
Wool,2022,6,1948.0,1469.7,1,5.4,1,839.52,1,775.58
Blended,2022,5,603.0,401.5,1,6.7,1,374.26,1,238.48
Chenille,2022,5,1587.0,1255.2,1,3.9,1,597.65,1,764.76
Corduroy,2022,5,1912.0,1075.7,1,5.1,1,527.47,0,570.21
Cotton,2022,5,1473.0,1108.8,1,3.6,1,454.47,1,444.09
Crepe,2022,5,1641.0,1335.2,1,4.9,1,586.16,1,585.54
Denim,2022,5,494.0,172.5,0,10.1,0,483.99,0,515.5
Fleece,2022,5,1594.0,566.6,0,10.1,0,406.79,0,500.14
Leather,2022,5,836.0,242.1,0,9.6,0,1562.29,0,1524.67
Linen,2022,5,729.0,487.3,1,6.2,1,595.6,1,533.38
Nylon,2022,5,993.0,739.0,1,7.6,1,311.19,1,225.81
Polyester,2022,5,1822.0,1219.4,1,4.8,1,231.79,1,208.04
Satin,2022,5,725.0,706.3,1,2.9,1,657.01,1,624.61
Silk,2022,5,574.0,270.8,0,9.3,0,1117.89,0,725.88
Terrycloth,2022,5,752.0,242.5,0,9.5,0,387.64,0,365.08
Viscose,2022,5,2051.0,952.7,0,8.6,1,381.1,0,441.44
Wool,2022,5,213.0,120.0,1,6.0,1,861.91,0,979.0
Blended,2022,4,2208.0,1537.6,1,4.6,1,316.96,1,371.92
Chenille,2022,4,1037.0,712.3,1,5.9,1,713.72,1,534.11
Corduroy,2022,4,2240.0,1028.5,0,7.3,0,526.33,0,381.53
Cotton,2022,4,1452.0,157.0,0,11.3,0,483.23,0,509.94
Crepe,2022,4,1672.0,1331.1,1,3.7,1,563.14,1,414.3
Denim,2022,4,500.0,156.7,0,10.2,0,519.81,0,500.16
Fleece,2022,4,829.0,209.6,0,10.7,0,475.77,0,443.46
Leather,2022,4,2193.0,1105.1,1,8.7,0,1480.44,0,1826.02
Linen,2022,4,1061.0,245.3,0,9.0,0,613.06,0,490.53
Nylon,2022,4,2380.0,770.7,0,11.2,0,287.65,0,146.96
Polyester,2022,4,1906.0,1817.8,1,4.0,1,240.07,1,216.44
Satin,2022,4,775.0,328.1,0,8.4,0,704.08,0,720.61
Silk,2022,4,1507.0,200.4,0,11.4,0,1112.33,0,1216.63
Terrycloth,2022,4,2156.0,907.8,0,6.9,0,425.8,0,400.89
Viscose,2022,4,2412.0,1938.3,1,4.2,1,367.71,1,453.69
Wool,2022,4,1855.0,1530.6,1,3.4,1,902.61,1,668.32
Blended,2022,3,2403.0,2109.3,1,5.5,1,363.52,1,560.47
Chenille,2022,3,2125.0,606.2,0,8.7,0,596.63,0,514.78
Corduroy,2022,3,1156.0,151.2,0,10.4,0,530.9,0,508.04
Cotton,2022,3,1168.0,675.2,1,7.1,1,477.48,0,564.69
Crepe,2022,3,1243.0,182.1,0,10.5,0,623.98,0,415.9
Denim,2022,3,2366.0,715.1,0,9.9,0,506.03,0,489.55
Fleece,2022,3,1282.0,493.0,0,9.3,0,430.12,0,282.37
Leather,2022,3,1208.0,756.5,1,5.6,1,1607.31,1,1464.12
Linen,2022,3,1235.0,288.4,0,9.3,0,586.36,0,707.84
Nylon,2022,3,2489.0,2410.9,1,4.5,1,276.39,1,361.87
Polyester,2022,3,325.0,310.9,1,4.0,1,245.24,1,254.53
Satin,2022,3,1408.0,875.9,1,6.3,1,691.84,1,752.8
Silk,2022,3,1118.0,782.8,1,4.5,1,1141.99,1,649.01
Terrycloth,2022,3,1861.0,701.9,1,8.4,0,398.37,0,420.38
Viscose,2022,3,1559.0,1474.6,1,3.1,1,382.13,1,303.67
Wool,2022,3,1091.0,770.3,1,4.9,1,970.79,1,1257.36
Blended,2022,2,328.0,248.5,1,5.2,1,352.78,1,256.68
Chenille,2022,2,1581.0,1393.4,1,1.6,1,660.78,1,676.49
Corduroy,2022,2,285.0,94.0,0,8.0,0,565.15,0,487.52
Cotton,2022,2,1342.0,1275.1,1,4.0,1,451.02,1,379.36
Crepe,2022,2,2193.0,253.9,0,9.4,0,582.05,0,484.44
Denim,2022,2,502.0,308.0,1,7.3,1,489.5,0,548.32
Fleece,2022,2,787.0,158.8,0,11.2,0,474.75,0,536.74
Leather,2022,2,544.0,392.0,1,5.8,1,1535.69,1,1501.98
Linen,2022,2,1510.0,1046.4,1,5.9,1,560.69,1,699.72
Nylon,2022,2,1527.0,1047.7,1,4.9,1,310.17,1,278.36
Polyester,2022,2,1209.0,779.2,1,5.4,1,253.52,0,253.51
Satin,2022,2,774.0,758.1,1,2.0,1,663.6,1,933.65
Silk,2022,2,1312.0,1159.4,1,4.2,1,1184.63,1,1473.75
Terrycloth,2022,2,688.0,136.4,0,9.6,0,425.8,0,352.36
Viscose,2022,2,693.0,646.6,1,3.7,1,386.25,1,404.06
Wool,2022,2,218.0,180.3,1,4.9,1,979.95,1,923.83
